"Company Name",ISIN,"Target Qualification",SME?,"Business ambitions 1.5",Country,Region,Sector,Status,Date,"Date Explanation",Target,"Target Classification"
"Farm Frites",,,,,Netherlands,Europe,"Food and Beverage Processing",Committed,"2019-12-01 00:00:00",,,
"Farmer Bros. Co",US3076751086,1.5°C,,,"United States of America (USA)","North America","Food and Beverage Processing","Targets Set","2019-08-01 00:00:00",,"American coffee foodservice company Farmer Bros. Co. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2025 from a 2018 base year. Farmer Bros. Co. also commits to reduce absolute scope 3 GHG emissions 18% by 2025 from a 2018 base year. *The target boundary includes biogenic emissions and removals from bioenergy feedstocks","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"FAST RETAILING CO., LTD.",JP3802300008,,,,Japan,Asia,Retailing,Committed,"2019-02-01 00:00:00",,,
"Fastweb S.p.A.",IT0001423562,1.5°C,,,Italy,Europe,"Telecommunication Services","Targets Set","2020-09-01 00:00:00",,"Fastweb commits to reduce absolute scope 1 and 2 GHG emissions 62% and scope 3 GHG emissions 15% by 2030 from a 2018 base year. Fastweb also commits to continue annually sourcing 100% renewable electricity through 2030.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Faurecia S.A.",,1.5°C,,1,France,Europe,"Automobiles and Components","Targets Set","2020-11-12 00:00:00",,"Faurecia S.A. commits to reduce absolute scope 1 and 2 GHG emissions 80% by 2025 from a 2019 base year. Faurecia also commits to reduce absolute scope 3 GHG emissions 46% by 2030 from a 2019 base year.",
"Ferrocarrils de la Generalitat de Catalunya",,,,1,Spain,Europe,"Ground Transportation - Highways and Railtracks",Committed,"2020-01-01 00:00:00",,,
Ferrovial,ES0118900010,2°C,,,Spain,Europe,"Construction and Engineering","Targets Set","2017-07-01 00:00:00",,"Spanish multinational company involved in design, construction, financing, transport and services infrastructure Ferrovial commits to reduce scope 1 and 2 absolute emissions 32% by 2030 from a 2009 base-year, this is equivalent to reduce emissions by 42.9% per million â¬ of turnover. The company also commits to reduce scope 3 emissions (excluding capital goods and purchased goods & services) 20% by 2030 from a 2012 base-year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
Fidocar,,1.5°C,1,1,Uruguay,"Latin America","Automobiles and Components","Targets Set","2020-10-01 00:00:00",,"Fidocar commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"FIRMENICH SA",,1.5°C,,1,Switzerland,Europe,"Consumer Durables, Household and Personal Products","Targets Set","2018-09-01 00:00:00",,"Fragrance & flavor company Firmenich SA commits to reduce absolute scope 1 and 2 GHG emissions 55% by 2030 from a 2017 base year. Firmenich SA also commits to reduce absolute scope 3 GHG emissions from purchased goods and services (raw material suppliers) 20% by 2030 from a 2017 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fisher & Paykel Healthcare Corporation Limited",,1.5°C,,,"New Zealand",Oceania,"Healthcare Equipment and Supplies","Targets Set","2020-06-01 00:00:00",,"Fisher & Paykel Healthcare Corporation Limited commits to reduce absolute scope 1 and 2 GHG emissions 67% by FY2034 from a FY2019 base year. Fisher & Paykel Healthcare Corporation Limited also commits that 87% of suppliers by spend covering purchased goods and services and the use of sold products will have science-based targets by FY2024.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fiskars Corporation",FI0009000400,1.5°C,,1,Finland,Europe,"Consumer Durables, Household and Personal Products","Targets Set","2020-10-01 00:00:00",,"Fiskars Group commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2017 base year. Fiskars Group commits to reduce absolute scope 3 GHG emissions from upstream transportation and distribution 30% by 2030 from a 2018 base year. Fiskars Group also commits that 60% of its suppliers by spend covering purchased goods and services, will have science-based targets by 2024","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fletcher Building Limited",NZFBUE0001S0,"Well-below 2°C",,,"New Zealand",Oceania,"Construction Materials","Targets Set","2019-12-01 00:00:00",,"Fletcher Building Limited commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year. Fletcher Building Limited also commits that 67% of its suppliers by emissions will have science-based targets by 2024.*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"FLUXYS BELGIUM",BE0974265945,,,,Belgium,Europe,"Oil and Gas",Committed,"2019-08-01 00:00:00",,,
"Ford Motor Company",,1.5°C,,1,"United States of America (USA)","North America","Automobiles and Components","Targets Set","2021-03-01 00:00:00",,"Ford Motor Company commits to reduce absolute scope 1 and scope 2 GHG emissions 76% by 2035 from a 2017 base year. Ford Motor Company also commits to reduce scope 3 use of sold products GHG emissions 50% per vehicle kilometer by 2035 from a 2019 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Forest Carbon Ltd.",,,,,"United Kingdom (UK)",Europe,"Trading Companies and Distributors, and Commercial Services and Supplies",Committed,"2020-04-01 00:00:00",,,
"Fortune Parts Industry Public Company Limited",TH3786010Z01,1.5°C,,,Thailand,Asia,"Automobiles and Components","Targets Set","2020-07-01 00:00:00",,"Fortune Parts Industry Public Company Limited commits to reduce absolute scope 1 and 2 GHG emissions 25% by 2024 from a 2018 base year. Fortune Parts Industry Public Company Limited also commits to reduce absolute scope 3 GHG emissions 25% over the same time period. * The target boundary includes biogenic emissions and removals associated with the use of bioenergy.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Framery Trade Oy",,1.5°C,1,,Finland,Europe,"Building Products","Targets Set","2020-10-01 00:00:00",,"Framery Trade Oy commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Franz Kaldewei GmbH & Co. KG",,"Well-below 2°C",,,Germany,Europe,"Building Products","Targets Set","2021-06-01 00:00:00",,"KALDEWEI commits to reduce absolute scope 1 and 2 GHG emissions 28% and absolute scope 3 emissions 14% by 2030 from a 2019 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"FRASERS PROPERTY AUSTRALIA",,"Well-below 2°C",,,Australia,Oceania,"Real Estate","Targets Set","2019-05-01 00:00:00",,"Property group Frasers Property Australia commits to reduce scope 1 and 2 GHG emissions 50% per square meter by 2028 from a 2017 base year. Frasers Property Australia also commits to reduce scope 3 GHG emissions 25% per square meter by 2028 from a 2017 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Freddie's Flowers",,1.5°C,1,,"United Kingdom (UK)",Europe,Retailing,"Targets Set","2020-10-01 00:00:00",,"Freddie's Flowers commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Fruit of the Loom, Inc.",,,,,"United States of America (USA)","North America","Textiles, Apparel, Footwear and Luxury Goods",Committed,"2020-03-01 00:00:00",,,
"Fubon Financial Holdings",TW0002881000,,,,"Taiwan, Province of China",Asia,"Banks, Diverse Financials, Insurance",Committed,"2016-12-01 00:00:00",,,
"FUJI OIL HOLDINGS INC.",JP3816400000,"Well-below 2°C",,,Japan,Asia,"Food and Beverage Processing","Targets Set","2020-05-01 00:00:00",,"Food products manufacturer FUJIOIL HOLDINGS INC. commits to reduce absolute scope 1 and 2 GHG emissions 40% by 2030 from a 2016 base year. FUJI OIL HOLDINGS INC. also commits to reduce absolute scope 3 GHG emissions 18% by 2030, using a 2016 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"FUJIFILM Holdings Corporation",JP3814000000,"Well-below 2°C",,,Japan,Asia,"Technology Hardware and Equipment","Targets Set","2017-10-01 00:00:00",,"FUJIFILM Holdings Corporation commits to reduce absolute scope 1, 2, and 3 GHG emissions 45% by 2030 from a 2013 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Fujitsu Limited",JP3818000006,1.5°C,,,Japan,Asia,"Software and Services","Targets Set","2017-08-01 00:00:00",,"Fujitsu commits to reduce absolute scope 1 and 2 GHG emissions 71% by 2030 from a 2013 base year. Fujitsu also commits to reduce scope 3 GHG emissions 30% by 2030 from a 2013 base year. The scope 3 reductions cover purchased goods and services and the use of sold products.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
FullCycle,,,,1,"United States of America (USA)","North America","Banks, Diverse Financials, Insurance",Committed,"2019-08-01 00:00:00",,,
FUNO,,,,,Mexico,"Latin America","Real Estate",Committed,"2020-10-01 00:00:00",,,
"Furukawa Electric Co., Ltd.",JP3827200001,2°C,,,Japan,Asia,"Electrical Equipment and Machinery","Targets Set","2019-08-01 00:00:00",,"Japanese electric and electronics equipment company Furukawa Electric Co., Ltd. commits to reduce absolute scope 1 and 2 GHG emissions 26% by FY30 from a FY17 base year. Furukawa Electric Co., Ltd. Also commits to reduce absolute scope 3 GHG emissions 20% within the same timeframe.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Gap Inc.",US3647601083,1.5°C,,,"United States of America (USA)","North America",Retailing,"Targets Set","2020-01-01 00:00:00",,"American worldwide clothing and accessories retailer. Gap, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 90% and scope 3 GHG emissions from purchased goods and services 30% by 2030 from a 2017 base year. Gap Inc. also commits to increase annual sourcing of renewable electricity from 0% in 2017 to 100% by 2030 for its owned and operated facilities globally.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
Gecina,FR0010040865,"Well-below 2°C",,,France,Europe,"Real Estate","Targets Set","2017-10-01 00:00:00",,"Real estate investment trust, Gecina commits to reduce GHG emissions 48% per square meter by 2030, from a 2014 base-year (scope 1, scope 2 and scope 3 emissions from downstream leased assets).","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Geelen Counterflow",,1.5°C,1,1,Netherlands,Europe,"Electrical Equipment and Machinery","Targets Set","2021-02-01 00:00:00",,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Geelen Counterflow commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
GeelongPort,,1.5°C,1,,Australia,Oceania,"Water Transportation - Water Transportation","Targets Set","2020-07-01 00:00:00",,"GeelongPort commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
GEKA,,,,,Germany,Europe,"Containers and Packaging",Committed,"2020-07-01 00:00:00",,,
"General Mills Inc.",US3703341046,1.5°C,,1,"United States of America (USA)","North America","Food and Beverage Processing","Targets Set","2021-01-07 00:00:00",,"Multinational manufacturer and marketer of branded consumer foods General Mills commits to reduce absolute scope 1, 2, and 3 GHG emissions 30% by FY2030 from a FY2020 base year. Within that target, General Mills commits to reduce absolute scope 1 and 2 GHG emissions 42% by FY2030 from a F2020 base year, and reduce absolute scope 3 GHG emissions 30% over the same timeframe.*The target boundary includes biogenic emissions and removals from bioenergy feedstocks","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Genesis Energy Ltd",,1.5°C,,,"New Zealand",Oceania,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)","Targets Set","2021-01-07 00:00:00",,"Genesis Energy Limited commits to reduce absolute scope 1 and 2 GHG emissions 36% by FY2025 from a FY2020 base year. Genesis Energy Limited also commits to reduce absolute scope 3 emissions from use of sold products 21% by FY2025 from a FY2020 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
Gestamp,ES0105223004,"Well-below 2°C",,,Spain,Europe,"Automobiles and Components","Targets Set","2020-05-01 00:00:00",,"Gestamp S.A. commits to reduce absolute scope 1 and 2 GHG emissions 30% by 2030 from a 2018 base year. Gestamp S.A. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and fuel and energy related activities by 22% by 2030 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Gilead Sciences, Inc.",,1.5°C,,,"United States of America (USA)","North America","Pharmaceuticals, Biotechnology and Life","Targets Set","2021-05-01 00:00:00",,"Gilead Sciences commits to reduce absolute scope 1 and 2 GHG emissions 46% by 2030 from a 2019 base year. Gilead Sciences also commits to reduce absolute scope 3 GHG emissions 15% over the same timeframe.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Givaudan SA",CH0010645932,1.5°C,,1,Switzerland,Europe,"Consumer Durables, Household and Personal Products","Targets Set","2017-09-01 00:00:00",,"Swiss manufacturer Givaudan commits to reduce absolute scope 1 and 2 GHG emissions 70% by 2030 from a 2015 base year. Givaudan also has a goal to reduce absolute scope 3 GHG emissions by 20% over the same time period.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
GlaxoSmithKline,GB0009252882,1.5°C,,1,"United Kingdom (UK)",Europe,"Pharmaceuticals, Biotechnology and Life","Targets Set","2019-03-01 00:00:00",,"“GlaxoSmithKline commits to reduce absolute scope 1 and 2 GHG emissions 34% by 2025 from a 2017 base year. GSK also commits to reduce absolute scope 3 GHG emissions 16% by 2030 from a 2017 base year.”","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
Glovo,,,,1,Spain,Europe,"Air Freight Transportation and Logistics",Committed,"2019-09-01 00:00:00",,,
"Godrej & Boyce Mfg. Co. Ltd.",,,,1,India,Asia,"Consumer Durables, Household and Personal Products",Committed,"2020-08-01 00:00:00",,,
"Godrej AgroveT Limited",,,,,India,Asia,"Food Production - Agricultural Production",Committed,"2020-09-01 00:00:00",,,
"Godrej Consumer Products Limited",,,,,India,Asia,"Consumer Durables, Household and Personal Products",Committed,"2020-09-01 00:00:00",,,
"Godrej Industries",,,,,India,Asia,Chemicals,Committed,"2020-09-01 00:00:00",,,
"Godrej Properties Limited",,,,,India,Asia,"Real Estate",Committed,"2020-09-01 00:00:00",,,
"GOL (GOL Linhas Aéreas S.A.)",BRGOLLACNPR4,,,,Brazil,"Latin America","Air Transportation - Airlines",Committed,"2020-08-01 00:00:00",,,
"Grant Thornton UK LLP",,1.5°C,,1,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2019-11-01 00:00:00",,"Professional services network Grant Thornton UK LLP commits to reduce absolute scopes 1 and 2 GHG emissions 21% by 2023 from a 2018 base year. Grant Thornton UK LLP also commits to reduce absolute scope 3 GHG emissions 21% by 2023 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Green Element Limited",,1.5°C,,1,"United Kingdom (UK)",Europe,"Professional Services","Targets Set","2020-05-01 00:00:00",,"Green Element Limited commits to reduce absolute scope 1, 2 and 3 GHG emissions 21% by 2023 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Greenstone ",,1.5°C,1,,"United Kingdom (UK)",Europe,"Technology Hardware and Equipment","Targets Set","2020-11-26 00:00:00",,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/Greenstone Ltd. commits to reduce absolute scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Greif Holding GmbH & Co. KG",,2°C,,,Germany,Europe,"Trading Companies and Distributors, and Commercial Services and Supplies","Targets Set","2019-06-01 00:00:00",,"Textile Rental Service Company Greif Textile Mietsysteme commits to reduce scope 1 and 2 GHG emissions by 38% per unit of gross value added by 2025 from a 2017 base year.”","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"Greystar Real Estate Partners",,,,,"United States of America (USA)","North America","Real Estate",Committed,"2018-12-01 00:00:00",,,
"Grieg Seafood ASA",,"Well-below 2°C",,,Norway,Europe,"Food Production - Animal Source Food Production","Targets Set","2020-08-01 00:00:00",,"Grieg Seafood ASA commits to reduce absolute scope 1, 2, and 3 GHG emissions 35% by 2030 and 100% by 2050 from a 2018 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Gromax Agri Equipment Limited",,1.5°C,,,India,Asia,"Automobiles and Components","Targets Set","2020-06-01 00:00:00",,"Gromax Agri Equipment Ltd. commits to reduce scope 1 and 2 GHG emissions 78% per tractor manufactured by 2033 from a 2018 base year. Gromax Agri Equipment Ltd. also commits to reduce scope 3 GHG emissions 40% per tractor sold over the same target period.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Group Fu Plastic Co., LTD",,,,,China,Asia,Chemicals,Committed,"2020-01-01 00:00:00",,,
"Groupe Public Ferroviaire (GPF) – SNCF",,2°C,,,France,Europe,"Ground Transportation - Railroads Transportation","Targets Set","2019-11-01 00:00:00",,"Passenger and goods transportation company Groupe Public Ferroviaire (GPF) – SNCF commits to reduce absolute scope 1 and 2 GHG emissions 26% by 2030 from a 2017 base-year. Groupe Public Ferroviaire (GPF) – SNCF also commits to reduce absolute scope 3 GHG emissions from fuel and energy related activities 26% by 2030 from a 2017 base-year. SNCF Groupe commits that 70% of its suppliers by emissions will set science-based targets by 2024.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"GROUPE RENAULT",FR0000131906,"Well-below 2°C",,1,France,Europe,"Automobiles and Components","Targets Set","2019-05-01 00:00:00",,"Multinational automobile manufacturer GROUPE RENAULT commits to reduce scope 1 and 2 GHG emissions 60% per car produced by 2030 from a 2012 base-year.GROUPE RENAULT commits to reduce scope 3 GHG emissions from use of sold products 41% per vehicle kilometer by 2030 from a 2010 base-year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Groupe SEB",FR0000121709,"Well-below 2°C",,,France,Europe,"Consumer Durables, Household and Personal Products","Targets Set","2019-03-01 00:00:00",,"French small appliance consumer Groupe SEB commits to reduce scope 1 and 2 GHG emissions 40% per product by 2023 and 60% by 2030 from a 2016 base-year. Groupe SEB also commits to reduce scope 3 GHG emissions 40% per product by 2030 from a 2016 base-year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Growthpoint Properties",ZAE000179420,,,,"South Africa",Africa,"Real Estate",Committed,"2017-11-01 00:00:00",,,
"Grundfos Holding A/S",,,,1,Denmark,Europe,"Electrical Equipment and Machinery",Committed,"2019-12-01 00:00:00",,,
"GCC S.A.B de C.V",,,,1,Mexico,"Latin America","Construction Materials",Committed,"2020-01-01 00:00:00",,,
"Grupo Energía Bogotá S.A. ESP",COE01PA00026,,,,Colombia,"Latin America","Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Committed,"2017-04-01 00:00:00",,,
"Grupo Financiero Banorte SAB de CV",MXP370711014,,,,Mexico,"Latin America","Banks, Diverse Financials, Insurance",Committed,"2016-10-01 00:00:00",,,
"Grupo Malwee",,,,1,Brazil,"Latin America","Textiles, Apparel, Footwear and Luxury Goods",Committed,"2019-09-01 00:00:00",,,
"GSL – Global Star Logistics",,,,1,China,Asia,"Water Transportation - Water Transportation",Committed,"2019-09-01 00:00:00",,,
"Guess?, Inc.",US4016171054,1.5°C,,1,"United States of America (USA)","North America","Textiles, Apparel, Footwear and Luxury Goods","Targets Set","2021-01-07 00:00:00",,"GUESS?, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 50% by FY2030 from a FY2019 base year. GUESS?, Inc. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 30% over the same time frame.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
Guidehouse,,,,,"United States of America (USA)","North America","Professional Services",Committed,"2020-06-01 00:00:00",,,
"Gujarat Fluorochemicals Ltd. (GFL)",INE538A01037,,,,India,Asia,Chemicals,Committed,"2019-03-01 00:00:00",,,
"H&M Hennes & Mauritz AB",,"Well-below 2°C",,1,Sweden,Europe,Retailing,"Targets Set","2019-12-01 00:00:00",,"H&M group commits to reduce absolute scope 1 and 2 GHG emissions 40% by 2030 from a 2017 base-year. H&M group  commits to increase annual sourcing of renewable electricity from 95% in 2017 to 100% by 2030. H&M group also commits to reduce scope 3 GHG emissions from purchased raw materials, fabric and garments 59% per piece by 2030 from a 2017 base-year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
"Hamamatsu Photonics K.K.",,,,,Japan,Asia,"Electrical Equipment and Machinery",Committed,"2020-06-01 00:00:00",,,
"Hanesbrands Inc.",,,,,"United States of America (USA)","North America","Textiles, Apparel, Footwear and Luxury Goods",Committed,"2020-10-01 00:00:00",,,
"Hannon Armstrong",US41068X1000,,,1,"United States of America (USA)","North America","Banks, Diverse Financials, Insurance",Committed,"2019-07-01 00:00:00",,,
"Havells India Limited",INE176B01034,,,,India,Asia,"Electrical Equipment and Machinery",Committed,"2018-11-01 00:00:00",,,
"Hayleys Fabric PLC",,,,1,"Sri Lanka",Asia,"Textiles, Apparel, Footwear and Luxury Goods",Committed,"2020-10-01 00:00:00",,,
"HAZAMA ANDO CORPORATION",,"Well-below 2°C",,,Japan,Asia,"Construction and Engineering","Targets Set","2019-12-01 00:00:00",,"Japanese construction company HAZAMA ANDO CORPORATION commits to reduce absolute scope 1 and 2 GHG emissions 33% by FY2030 from a FY2017 base year. HAZAMA ANDO CORPORATION also commits to reduce absolute scope 3 GHG emissions from purchased goods and services and the use of sold products by 22% over the same timeframe.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"HCL Technologies",INE860A01027,,,,India,Asia,"Software and Services",Committed,"2019-10-01 00:00:00",,,
"Healthpeak Properties, Inc.",,"Well-below 2°C",,,"United States of America (USA)","North America","Real Estate","Targets Set","2019-12-01 00:00:00",,"Real estate investment trust Healthpeak Properties, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2033 from a 2018 base year. HCP also commits to reduce absolute scope 3 GHG emissions 19% by 2033 from a 2018 base year","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Heathrow Airport",,,,1,"United Kingdom (UK)",Europe,"Air Transportation - Airport Services",Committed,"2018-09-01 00:00:00",,,
"HeidelbergCement AG",DE0006047004,2°C,,1,Germany,Europe,"Construction Materials","Targets Set","2019-05-01 00:00:00",,"German multinational building materials company HeidelbergCement commits to reduce scope 1 GHG emissions 15% per ton of cementitious materials by 2030 from a 2016 base year. HeidelbergCement also commits to reduce scope 2 GHG emissions 65% per ton of cementitious materials within the same timeframe.**The target boundary includes biogenic emissions and removals associated with the use of bioenergy.”","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 2°C."
"HEINEKEN N.V.",NL0000009165,1.5°C,,1,Netherlands,Europe,"Food and Beverage Processing","Targets Set","2021-09-01 00:00:00",,"HEINEKEN N.V. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2030 from a 2018 base year. HEINEKEN N.V. also commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy related activities, upstream transportation and distribution, and use of sold products 21% within the same timeframe. * The target boundary includes biogenic emissions and removals from bioenergy feedstocks.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"Henkel AG & Co. KGaA",DE0006048432,1.5°C,,1,Germany,Europe,"Consumer Durables, Household and Personal Products","Targets Set","2020-03-01 00:00:00",,"Henkel commits to reduce scope 1 and 2 GHG emissions 67% per ton of product by 2030 from a 2017 base year. Henkel also commits to increase annual sourcing of renewable electricity from 6% in 2017 to 100% by 2030. Furthermore, Henkel commits to reduce scope 3 GHG emissions from purchased goods and services 30% per ton of product by 2030 from a 2017 base year.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C."
Hera,IT0001250932,"Well-below 2°C",,,Italy,Europe,"Solid Waste Management Utilities","Targets Set","2021-04-01 00:00:00",,"Hera Group commits to reduce absolute scope 1 and 2 GHG emissions 28% by 2030 from a 2019 base year. Hera Group commits to increase annual sourcing of renewable electricity from 83% in 2019 to 100% by 2023. Hera Group commits to reduce absolute scope 3 GHG emissions from the use of sold products 30% by 2030 from a 2019 base year. Hera Group also commits to reduce scope 3 GHG emissions for all sold electricity 50% per MWh over the same timeframe.* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks and biodegradable sources from municipal solid waste.","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C."
"Hersha Hotels & Resorts",,,,,"United States of America (USA)","North America","Real Estate",Committed,"2019-04-01 00:00:00",,,
"Hewlett Packard Enterprise Company",US42824C1099,1.5°C,,1,"United States of America (USA)","North America","Technology Hardware and Equipment","Targets Set","2019-08-01 00:00:00",,"Multinational enterprise information technology company Hewlett Packard Enterprise commits to reduce absolute scope 1 and 2 GHG emissions by 55% by 2025 from 2016 base year. Hewlett Packard Enterprise also commits to reduce absolute scope 3 GHG emissions 15% by 2025 from 2016 base year. In addition, the company commits to increasing the energy performance of its product portfolio 30x within the same time-frame, which equates to reducing the greenhouse gas emissions per operation by over 95 percent. HPE commits that its manufacturing suppliers covering 80% of spend will set science-based targets by 2025","The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C."
"HH Global",,,,1,"United Kingdom (UK)",Europe,Media,Committed,"2020-05-01 00:00:00",,,
